fund,agency,sid,appropriated_fy_2019,recommended_2020,recommended_2021,sid_code,sid_term
General Fund,Legislative Management,10010 - Personal Services,42119559,44553097,47495338,10010,10010
General Fund,Legislative Management,10020 - Other Expenses,11976294,11976294,11976294,10020,10020
General Fund,Legislative Management,10050 - Equipment,50000,50000,50000,10050,10050
General Fund,Legislative Management,12210 - Interim Salary/Caucus Offices,19984,19984,19984,12210,12210
General Fund,Legislative Management,12249 - Redistricting,25000,25000,25000,12249,12249
General Fund,Legislative Management,12445 - Old State House,500000,500000,500000,12445,12445
General Fund,Legislative Management,16057 - Interstate Conference Fund,377944,377944,377944,16057,16057
General Fund,Legislative Management,16130 - New England Board of Higher Education,183750,183750,183750,16130,16130
General Fund,Auditors of Public Accounts,10010 - Personal Services,10349151,10988315,11695262,10010,10010
General Fund,Auditors of Public Accounts,10020 - Other Expenses,272143,272143,272143,10020,10020
General Fund,"Commission on Women, Children and Seniors",10010 - Personal Services,400000,425385,453460,10010,10010
General Fund,"Commission on Women, Children and Seniors",10020 - Other Expenses,30000,30000,30000,10020,10020
General Fund,Commission on Equity and Opportunity,10010 - Personal Services,400000,425385,453460,10010,10010
General Fund,Commission on Equity and Opportunity,10020 - Other Expenses,30000,30000,30000,10020,10020
General Fund,Governor's Office,10010 - Personal Services,1943213,2043764,2154748,10010,10010
General Fund,Governor's Office,10020 - Other Expenses,176132,174483,174483,10020,10020
General Fund,Governor's Office,16026 - Coalition of Northeastern Governors,66952,74391,74391,16026,16026
General Fund,Governor's Office,16035 - National Governors' Association,105204,106600,106600,16035,16035
General Fund,Secretary of the State,10010 - Personal Services,2550229,2681168,2826337,10010,10010
General Fund,Secretary of the State,10020 - Other Expenses,1660209,1659594,1659594,10020,10020
General Fund,Secretary of the State,12480 - Commercial Recording Division,4532718,4672490,4819503,12480,12480
General Fund,Lieutenant Governor's Office,10010 - Personal Services,591699,618549,648244,10010,10010
General Fund,Lieutenant Governor's Office,10020 - Other Expenses,57251,57251,57251,10020,10020
General Fund,Elections Enforcement Commission,12522 - Elections Enforcement Commission,3125570,3321817,3518682,12522,12522
General Fund,Office of State Ethics,12347 - Information Technology Initiatives,28226,0,0,12347,12347
General Fund,Office of State Ethics,12523 - Office of State Ethics,1403529,1515986,1610143,12523,12523
General Fund,Freedom of Information Commission,12524 - Freedom of Information Commission,1513476,1618072,1707192,12524,12524
General Fund,State Treasurer,10010 - Personal Services,2759385,2903527,3052378,10010,10010
General Fund,State Treasurer,10020 - Other Expenses,125614,124999,124999,10020,10020
General Fund,Debt Service - State Treasurer,12285 - Debt Service,1858767569,1906900160,1997208185,12285,12285
General Fund,Debt Service - State Treasurer,12286 - UConn 2000 - Debt Service,210955639,216225089,234906539,12286,12286
General Fund,Debt Service - State Treasurer,12287 - CHEFA Day Care Security,5500000,5500000,5500000,12287,12287
General Fund,Debt Service - State Treasurer,12500 - Pension Obligation Bonds - TRB,118400521,118400521,118400521,12500,12500
General Fund,Debt Service - State Treasurer,17105 - Municipal Restructuring,20000000,45666625,56314629,17105,17105
General Fund,State Comptroller,10010 - Personal Services,22023826,23014883,24235594,10010,10010
General Fund,State Comptroller,10020 - Other Expenses,4511411,4750883,4749293,10020,10020
General Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,2985705,11111545,22326243,19001,19001
General Fund,State Comptroller - Fringe Benefits,12005 - Unemployment Compensation,6465764,6132100,4974400,12005,12005
General Fund,State Comptroller - Fringe Benefits,12006 - State Employees Retirement Contributions,1165586416,1268557372,1373926320,12006,12006
General Fund,State Comptroller - Fringe Benefits,12007 - Higher Education Alternative Retirement System,1000,30044700,30044700,12007,12007
